iter	Passed	Remaining
0	8	3497
1	14	2941
2	20	2648
3	24	2474
4	30	2400
5	35	2360
6	43	2448
7	50	2481
8	60	2613
9	67	2617
10	73	2602
11	80	2602
12	86	2581
13	94	2595
14	100	2584
15	106	2565
16	114	2579
17	119	2545
18	127	2555
19	137	2608
20	145	2632
21	157	2700
22	165	2713
23	172	2695
24	179	2695
25	185	2668
26	191	2643
27	197	2626
28	203	2599
29	209	2586
30	215	2567
31	220	2540
32	227	2528
33	232	2506
34	238	2486
35	244	2473
36	250	2457
37	256	2438
38	261	2425
39	267	2411
40	273	2399
41	280	2390
42	286	2376
43	294	2379
44	302	2389
45	310	2389
46	317	2385
47	325	2389
48	332	2380
49	338	2371
50	344	2356
51	349	2341
52	356	2332
53	363	2328
54	369	2316
55	375	2307
56	382	2299
57	389	2298
58	396	2289
59	402	2280
60	408	2271
61	414	2257
62	419	2242
63	425	2235
64	431	2221
65	436	2207
66	441	2193
67	446	2181
68	452	2172
69	458	2163
70	465	2154
71	470	2144
72	476	2132
73	482	2124
74	488	2115
75	493	2104
76	499	2096
77	505	2086
78	511	2076
79	517	2069
80	523	2063
81	528	2051
82	534	2042
83	539	2030
84	544	2018
85	550	2008
86	555	1998
87	560	1986
88	565	1974
89	570	1964
90	575	1953
91	580	1944
92	585	1934
93	591	1924
94	596	1914
95	601	1905
96	606	1895
97	611	1885
98	616	1875
99	622	1866
100	627	1857
101	632	1847
102	637	1837
103	642	1828
104	647	1818
105	652	1810
106	658	1802
107	663	1793
108	668	1784
109	673	1776
110	678	1767
111	683	1758
112	689	1750
113	694	1741
114	699	1733
115	704	1724
116	709	1716
117	715	1709
118	720	1701
119	726	1694
120	731	1685
121	736	1677
122	741	1669
123	746	1661
124	751	1653
125	756	1645
126	761	1637
127	766	1629
128	771	1621
129	777	1615
130	783	1608
131	789	1602
132	795	1596
133	800	1588
134	805	1580
135	809	1572
136	815	1564
137	820	1557
138	825	1549
139	830	1541
140	835	1534
141	840	1527
142	845	1519
143	851	1513
144	856	1505
145	861	1499
146	866	1491
147	871	1484
148	877	1477
149	882	1470
150	887	1463
151	892	1456
152	897	1449
153	903	1442
154	908	1436
155	913	1429
156	919	1423
157	925	1417
158	931	1411
159	936	1405
160	942	1399
161	948	1393
162	953	1387
163	960	1381
164	966	1376
165	972	1371
166	979	1366
167	985	1361
168	992	1356
169	998	1351
170	1005	1346
171	1012	1341
172	1019	1337
173	1025	1332
174	1032	1327
175	1038	1322
176	1045	1317
177	1052	1312
178	1059	1308
179	1066	1303
180	1073	1299
181	1083	1297
182	1090	1293
183	1097	1287
184	1103	1282
185	1110	1277
186	1116	1271
187	1122	1265
188	1127	1258
189	1133	1252
190	1138	1245
191	1144	1240
192	1149	1233
193	1155	1226
194	1161	1220
195	1166	1214
196	1171	1207
197	1177	1200
198	1182	1193
199	1187	1187
200	1192	1180
201	1197	1173
202	1202	1166
203	1207	1160
204	1212	1153
205	1217	1146
206	1223	1140
207	1228	1133
208	1233	1127
209	1238	1120
210	1244	1114
211	1249	1107
212	1254	1101
213	1259	1094
214	1264	1088
215	1269	1081
216	1275	1075
217	1280	1069
218	1285	1062
219	1291	1056
220	1296	1050
221	1302	1044
222	1307	1037
223	1313	1032
224	1319	1026
225	1324	1019
226	1331	1014
227	1337	1008
228	1342	1002
229	1348	996
230	1354	991
231	1360	985
232	1367	980
233	1374	974
234	1379	968
235	1385	962
236	1391	957
237	1397	951
238	1403	945
239	1409	939
240	1415	933
241	1421	928
242	1426	921
243	1433	916
244	1439	910
245	1444	904
246	1450	898
247	1455	891
248	1462	886
249	1469	881
250	1477	877
251	1484	872
252	1491	866
253	1497	860
254	1503	854
255	1508	848
256	1515	843
257	1522	838
258	1529	832
259	1536	827
260	1544	822
261	1552	817
262	1559	812
263	1566	807
264	1574	802
265	1581	796
266	1588	791
267	1594	785
268	1603	780
269	1611	775
270	1618	770
271	1625	765
272	1632	759
273	1638	753
274	1646	748
275	1653	742
276	1661	737
277	1669	732
278	1676	727
279	1684	721
280	1690	715
281	1697	710
282	1703	704
283	1710	698
284	1718	693
285	1725	687
286	1732	682
287	1738	676
288	1745	670
289	1752	664
